NOC,Sport,Prediction,NOC.1,Sport.1,2024,medal,Rate,,Number
CHN,Badminton,16,CHN,Badminton,0.2523983634349422,4.038373814959075,0.06951607527893144,,5
CHN,Basketball,12,CHN,Basketball,0.2922662421462489,3.5071949057549867,0.06592734378107802,,2
CHN,Beach Volleyball,2,CHN,Beach Volleyball,0.0617886367834179,0.1235772735668358,0.003038561989046298,,2
CHN,Boxing,8,CHN,Boxing,0.0481464109830893,0.3851712878647144,0.005445026894954341,,13
CHN,Breaking,3,CHN,Breaking,0.1847310531209879,0.5541931593629636,0.03426239851671595,,2
CHN,Canoeing,12,CHN,Canoeing,0.15,1.8,,,16
CHN,Cycling,18,CHN,Cycling,0,0,,,
CHN,Cycling BMX Freestyle,2,CHN,Cycling BMX Freestyle,0.7114834406825556,1.4229668813651113,0.12510948824746465,,2
CHN,Cycling Mountain Bike,2,CHN,Cycling Mountain Bike,0.3896360348750675,0.779272069750135,0.02946382749831265,,2
CHN,Cycling Road,3,CHN,Cycling Road,0.7551022143942894,2.265306643182868,0.03487051963393303,,4
CHN,Cycling Track,17,CHN,Cycling Track,0.3588935857184939,6.1011909572143965,0.05212460543637778,,12
CHN,Equestrian,2,CHN,Equestrian,0.9984281226286998,1.9968562452573997,0.02383349577510348,,6
CHN,Equestrianism,1,CHN,Equestrianism,0,0,,,
CHN,Fencing,24,CHN,Fencing,0.2627531965617165,6.306076717481195,0.08444540442838507,,12
CHN,Football,22,CHN,Football,0,0,0,,2
CHN,Golf,4,CHN,Golf,0.5715173257132063,2.2860693028528254,0.047493666693322986,,2
CHN,Gymnastics,45,CHN,Gymnastics,0,0,,,
CHN,Handball,30,CHN,Handball,0,0,0,,2
CHN,Judo,6,CHN,Judo,0.4723713940087393,2.8342283640524357,0.025219926914167877,,15
CHN,Modern Pentathlon,3,CHN,Modern Pentathlon,0.3225663802134932,0.9676991406404796,0.030478955285338633,,2
CHN,Rhythmic Gymnastics,6,CHN,Rhythmic Gymnastics,0.3704213712552727,2.2225282275316363,0.0560144055802684,,2
CHN,Rowing,14,CHN,Rowing,0.1989750250650386,2.7856503509105406,0.022574399409986734,,14
CHN,Rugby Sevens,14,CHN,Rugby Sevens,0.6960908788551543,9.745272303972161,0.13881778169118078,,12
CHN,Sailing,13,CHN,Sailing,0.1855102062179653,2.4116326808335486,0.024805647058772126,,10
CHN,Shooting,33,CHN,Shooting,0.2764610626709824,9.12321506814242,0.08271242984931064,,15
CHN,Skateboarding,4,CHN,Skateboarding,0.2202102407604652,0.8808409630418608,0.025558820215604326,,4
CHN,Sport Climbing,7,CHN,Sport Climbing,0.2598888713282634,1.8192220992978436,0.057730125860215,,4
