,Date,预测的比特币价格,预测的黄金价格,真实的比特币价格,真实的黄金价格
0,2016/09/11 00:00:00,,,621.65,
1,2016/09/12 00:00:00,612.1178999999989,1322.643999999999,609.67,1324.6
2,2016/09/13 00:00:00,611.5285999999993,1322.643999999999,610.92,1323.65
3,2016/09/14 00:00:00,609.3192000000007,1322.1954999999998,608.82,1321.75
4,2016/09/15 00:00:00,603.1547999999996,1314.0145000000007,610.38,1310.8
5,2016/09/16 00:00:00,609.3907000000005,1317.2030666666678,609.11,1308.35
6,2016/09/17 00:00:00,609.6694000000002,1313.9135000000015,607.04,
7,2016/09/18 00:00:00,609.1210000000003,1310.6666476190478,611.58,
8,2016/09/19 00:00:00,611.0202000000007,1310.6666476190478,610.19,1314.85
9,2016/09/20 00:00:00,609.224200000001,1310.6666476190478,608.66,1313.8
10,2016/09/21 00:00:00,603.2483999999995,1323.8470000000018,598.88,1326.1
11,2016/09/22 00:00:00,597.3239999999995,1329.0150000000008,597.42,1339.1
12,2016/09/23 00:00:00,596.2218000000004,1335.405500000002,594.08,1338.65
13,2016/09/24 00:00:00,596.2218000000004,1338.7760000000007,603.88,
14,2016/09/25 00:00:00,603.9094999999994,1328.0485000000006,601.74,
15,2016/09/26 00:00:00,602.0324000000005,1328.0485000000006,598.98,1340.5
16,2016/09/27 00:00:00,597.3239999999995,1328.0485000000006,605.96,1327.0
17,2016/09/28 00:00:00,605.7876999999992,1335.9615,605.67,1322.5
18,2016/09/29 00:00:00,605.0414999999992,1316.2263750000018,603.85,1318.1
19,2016/09/30 00:00:00,606.8260999999995,1308.5180000000003,609.39,1322.5
20,2016/10/01 00:00:00,613.2151999999996,1316.2263750000018,614.82,
21,2016/10/02 00:00:00,617.7654000000011,1315.2129999999988,612.98,
22,2016/10/03 00:00:00,615.3647999999998,1315.2129999999988,611.85,1313.3
23,2016/10/04 00:00:00,611.0202000000007,1315.2129999999988,609.62,1283.3
24,2016/10/05 00:00:00,611.4799999999992,1274.8209999999988,607.18,1269.4
25,2016/10/06 00:00:00,608.8228000000004,1264.2677857142858,612.08,1254.5
26,2016/10/07 00:00:00,614.5874999999997,1256.9269999999995,617.21,1258.75
27,2016/10/08 00:00:00,616.1011999999996,1260.57,614.74,
28,2016/10/09 00:00:00,619.7256000000009,1255.0934999999981,615.65,
29,2016/10/10 00:00:00,618.1460000000008,1255.0934999999981,617.54,1259.5
30,2016/10/11 00:00:00,616.1011999999996,1255.0934999999981,614.77,1253.45
31,2016/10/12 00:00:00,627.2760000000007,1257.9274999999996,635.01,1256.5
32,2016/10/13 00:00:00,635.1713999999997,1261.948500000002,635.96,1261.05
33,2016/10/14 00:00:00,635.1713999999997,1263.6555000000021,634.02,1251.75
34,2016/10/15 00:00:00,633.8858999999998,1255.608858333334,637.94,
35,2016/10/16 00:00:00,635.3166000000004,1257.4082333333317,641.42,
36,2016/10/17 00:00:00,638.4973000000002,1257.4082333333317,638.97,1254.8
37,2016/10/18 00:00:00,635.3166000000004,1257.4082333333317,636.29,1258.2
38,2016/10/19 00:00:00,635.1713999999997,1266.3685000000016,629.25,1269.05
39,2016/10/20 00:00:00,629.2750000000001,1269.1340238095222,627.72,1271.65
40,2016/10/21 00:00:00,629.2935999999994,1275.2780000000005,631.92,1266.05
41,2016/10/22 00:00:00,630.4538000000002,1265.8755833333337,655.48,
42,2016/10/23 00:00:00,652.4745999999994,1267.5079999999978,653.25,
43,2016/10/24 00:00:00,652.3895999999994,1267.5079999999978,651.39,1265.55
44,2016/10/25 00:00:00,653.9183999999992,1267.5079999999978,655.31,1269.4
45,2016/10/26 00:00:00,651.916599999999,1264.2677857142858,651.45,1270.5
46,2016/10/27 00:00:00,653.9183999999992,1278.6650000000006,682.22,1266.25
47,2016/10/28 00:00:00,700.8013000000001,1264.6290833333314,687.68,1273.0
48,2016/10/29 00:00:00,690.0476000000007,1271.0645000000004,685.91,
49,2016/10/30 00:00:00,695.0561000000002,1277.5304999999996,698.0,
50,2016/10/31 00:00:00,702.9195,1277.5304999999996,702.0,1272.0
51,2016/11/01 00:00:00,705.8443999999998,1277.5304999999996,697.01,1288.45
52,2016/11/02 00:00:00,702.9195,1300.8233035714286,733.33,1303.75
53,2016/11/03 00:00:00,704.4178999999992,1297.9235,686.17,1301.0
54,2016/11/04 00:00:00,690.0476000000007,1299.9355000000014,683.69,1302.8
55,2016/11/05 00:00:00,700.8013000000001,1283.8970000000015,704.79,
56,2016/11/06 00:00:00,708.6591999999998,1278.968999999998,712.0,
57,2016/11/07 00:00:00,717.4698999999999,1278.968999999998,709.96,1283.05
58,2016/11/08 00:00:00,714.8128000000006,1278.968999999998,708.97,1282.35
59,2016/11/09 00:00:00,717.1998000000001,1280.1314999999993,720.93,1281.4
60,2016/11/10 00:00:00,720.4253999999996,1270.6179999999993,721.5,1267.5
61,2016/11/11 00:00:00,717.884399999999,1249.5334999999982,715.45,1236.45
62,2016/11/12 00:00:00,717.9917,1222.6300000000017,703.71,
63,2016/11/13 00:00:00,704.8929999999996,1221.2040000000004,702.28,
64,2016/11/14 00:00:00,705.9334999999999,1221.2040000000004,706.46,1213.6
65,2016/11/15 00:00:00,711.471700000001,1221.2040000000004,710.91,1226.95
66,2016/11/16 00:00:00,715.3273000000005,1226.9558333333316,711.73,1229.2
67,2016/11/17 00:00:00,727.4599,1226.4595,736.96,1226.75
68,2016/11/18 00:00:00,743.0000999999994,1222.6733333333332,747.52,1211.0
69,2016/11/19 00:00:00,742.9863000000001,1215.0080000000005,748.98,
70,2016/11/20 00:00:00,736.2784999999994,1207.6645000000017,729.06,
71,2016/11/21 00:00:00,727.5769999999991,1207.6645000000017,738.53,1214.25
72,2016/11/22 00:00:00,739.3841999999994,1207.6645000000017,736.97,1212.25
73,2016/11/23 00:00:00,743.0000999999994,1206.4624999999994,741.63,1185.35
74,2016/11/24 00:00:00,746.1200999999994,1187.427000000001,737.45,1186.1
75,2016/11/25 00:00:00,738.0768999999995,1185.2644999999995,735.64,1187.7
76,2016/11/26 00:00:00,736.3138999999989,1187.6945000000007,733.67,
77,2016/11/27 00:00:00,721.5517999999997,1186.2905000000019,727.96,
78,2016/11/28 00:00:00,727.3947999999991,1186.2905000000019,727.31,1187.0
79,2016/11/29 00:00:00,730.1403999999998,1186.2905000000019,732.71,1186.55
80,2016/11/30 00:00:00,726.5567000000001,1180.5025000000016,742.69,1178.1
81,2016/12/01 00:00:00,748.5267000000008,1184.4960000000015,742.05,1161.85
82,2016/12/02 00:00:00,758.0132999999993,1159.8709999999996,772.43,1173.5
83,2016/12/03 00:00:00,767.2937000000011,1176.6399999999987,764.33,
84,2016/12/04 00:00:00,766.2127000000006,1145.440499999999,762.97,
85,2016/12/05 00:00:00,766.0585000000005,1145.440499999999,754.63,1162.2
86,2016/12/06 00:00:00,748.4667000000003,1145.440499999999,756.62,1172.5
87,2016/12/07 00:00:00,749.5858000000003,1174.2559999999994,758.99,1177.65
88,2016/12/08 00:00:00,757.0812000000005,1176.7260000000015,769.72,1171.05
89,2016/12/09 00:00:00,770.4599999999998,1168.2145000000012,770.02,1163.6
90,2016/12/10 00:00:00,770.1216000000007,1159.6010000000006,769.08,
91,2016/12/11 00:00:00,773.1701999999999,1160.0775000000012,777.0,
92,2016/12/12 00:00:00,777.5199810714289,1160.0775000000012,777.0,1156.1
93,2016/12/13 00:00:00,777.5199810714289,1160.0775000000012,777.99,1158.55
94,2016/12/14 00:00:00,776.0422285714284,1158.9835000000003,774.89,1162.25
95,2016/12/15 00:00:00,778.5439249999996,1145.440499999999,776.75,1126.95
96,2016/12/16 00:00:00,776.7999035714286,1135.9080000000004,775.88,1131.6
97,2016/12/17 00:00:00,784.528824999999,1139.3514999999995,788.7,
98,2016/12/18 00:00:00,790.2059999999993,1133.8619999999985,788.4,
99,2016/12/19 00:00:00,792.3633999999984,1133.8619999999985,788.67,1136.25
100,2016/12/20 00:00:00,792.3633999999984,1133.8619999999985,793.09,1125.7
101,2016/12/21 00:00:00,810.3420999999997,1135.9080000000004,824.21,1133.65
102,2016/12/22 00:00:00,852.7819000000002,1142.5144999999989,834.97,1131.35
103,2016/12/23 00:00:00,891.8505999999991,1139.3514999999995,901.31,
